City,Location,State,EstimateLow,EstimateHigh,Estimate Full,Actor,Event Type,Source1,g_lat,g_lon,g_lat_jitter,g_lon_jitter,linkstatus
Cape Girardeau,Freedom Corner Capaha Park,MO,24,50,24 to 50,general protestors,vigil,https://www.facebook.com/events/2621712867848672/,37.3058839,-89.5181476,37.3074369,-89.5208676,Link
San Jose,City Hall Plaza,CA,445,445,445,"Lights for Liberty, San Jose",General,https://www.facebook.com/events/352097999046213/,37.3382082,-121.8863286,37.3359802,-121.8887686,Link
Cortez,near the flag stands,CO,15,15,15,general protestors,General,https://www.facebook.com/events/2353108341633269/,37.3488827,-108.5859265,37.3520577,-108.5921565,Link
Mountain View,Camino Dr.,CA,200,500,200 to 500,Together We Will Palo Alto/Mountain View,General,https://www.facebook.com/events/461345684429482/,37.3860517,-122.0838511,37.3842027,-122.0597911,Link
Pittsburg,304 W 3rd St,KS,35,40,35 to 40,general protestors,vigil,https://www.facebook.com/events/465512890874584/,37.410884,-94.70496,37.409159,-94.69358,Link
Palo Alto,Palantir Technologies; 555 High Street,CA,200,200,200,Coalition to Close the Concentration Camps - Bay Area; others,march,https://www.facebook.com/events/671633279931276/,37.4418834,-122.1430195,37.4387664,-122.1097195,Link
Half Moon Bay,Mac Dutra Park,CA,200,250,200 to 250,General,General,https://www.facebook.com/events/2090808074556347/,37.4635519,-122.4285862,37.4599399,-122.4405062,Link
Redwood City,"1044 Middlefield Rd,",CA,200,300,200 to 300,Woodside Road United Methodist Church,General,https://www.facebook.com/events/435311153984972/,37.4852152,-122.2363548,37.4892162,-122.1922848,Link
Fremont,Lake Elizabeth,CA,64,64,64,General,General,https://www.facebook.com/events/2286407811619096/,37.5485396,-121.988583,37.5492946,-122.021863,Link
Pacifica,Southbound Highway 1,CA,9,9,9,Pacifica Social Justice,General,https://www.facebook.com/events/2077158242585494/,37.6138253,-122.4869194,37.6171913,-122.5178894,Link
Danville,Weisiger Park,KY,12,12,12,Indivisible Danville; Centro Latino de Danville; KFTC- Wilderness Trace Chapter,General,https://www.facebook.com/events/360687017952438,37.6456329,-84.7721702,37.6435479,-84.7926202,Link
Livermore,downtown flagpole,CA,200,200,200,general protestors,General,https://www.lightsforliberty.org/,37.6818688,-121.7684732,37.6789568,-121.8176932,Link
Wichita,455 N Main St,KS,214,214,214,general protestors,General,https://www.facebook.com/events/436922627130523/?,37.6871761,-97.330053,37.6885631,-97.344083,Link
Castro Valley,Corner of Castro Valley Blvd. and Redwood Rd.,CA,100,100,100,Castro Valley Pride,General,https://www.facebook.com/events/569468110245519/,37.6955029,-122.0738678,37.6975189,-122.0606478,Link
San Francisco,Powell St Cablecar Turnaround,CA,952,952,952,general protestors,General,https://www.facebook.com/events/2321405664768515,37.7749295,-122.4194155,37.7766545,-122.3823855,Link
Beckley,Word Park,WV,23,23,23,Women's March WV South; Women's March West Virginia,vigil,https://www.facebook.com/events/449122252536779/,37.7781702,-81.1881557,37.7764182,-81.2317557,Link
Alameda,city hall,CA,45,45,45,general protestors,General,https://www.facebook.com/events/2946681242222993/,37.7798721,-122.2821855,37.7802811,-122.2798055,Link
Manteca,Woodward Ave.,CA,150,150,150,Lights 4 Liberty,General,https://www.facebook.com/events/2425349834152356/,37.7974273,-121.2160526,37.7966843,-121.1900226,Link
Oakland,city hall,CA,2000,2000,"2,000",general protestors,General,https://twitter.com/jeanquan/status/1150111063486058497,37.8043514,-122.2711639,37.8082274,-122.2238639,Link
