Protest,g_lat,g_lon
LFL,41.4022081,-72.4824991
LFL,41.408969,-75.6624122
LFL,41.49932,-81.6943605
LFL,41.5067003,-90.5151342
LFL,41.5261437,-87.8892189
LFL,41.5532208,-70.6085886
LFL,41.5536468,-87.451984
LFL,41.5822716,-85.8344383
LFL,41.5868353,-93.6249593
LFL,41.5868353,-93.6249593
LFL,41.632223,-88.2120315
LFL,41.6362152,-70.934205
LFL,41.6376043,-70.9036487
LFL,41.6524911,-70.2881124
LFL,41.6528052,-83.5378674
LFL,41.6716498,-70.0622231
LFL,41.6763545,-86.2519898
LFL,41.6820897,-69.9597664
LFL,41.6861794,-72.5450779
LFL,41.7106543,-72.2081338
LFL,41.7247554,-73.4769643
LFL,41.7353062,-70.1939429
LFL,41.7508391,-88.1535352
LFL,41.7605849,-88.3200715
LFL,41.7620842,-72.7420151
LFL,41.7658043,-72.6733723
LFL,41.7759301,-72.5215009
LFL,41.8003049,-73.1211715
LFL,41.8012001,-74.74655
LFL,41.8239891,-71.4128343
LFL,41.8775293,-88.0670118
LFL,41.8781136,-87.6297982
LFL,41.8781136,-87.6297982
LFL,41.8781136,-87.6297982
LFL,41.8781136,-87.6297982
LFL,41.8781136,-87.6297982
LFL,41.8850317,-87.7845025
LFL,41.8975471,-84.0371659
LFL,41.8994744,-87.9403418
LFL,41.9164343,-83.3977101
LFL,41.9209018,-73.9612887
LFL,41.9270367,-73.9973608
LFL,41.9294736,-88.7503647
LFL,41.9305468,-70.0309753
LFL,41.9412081,-72.7273158
LFL,41.9584457,-70.6672621
LFL,41.9778795,-91.6656232
LFL,42.0227184,-93.4523014
LFL,42.0245442,-71.1286594
LFL,42.0354084,-88.2825668
LFL,42.0409247,-74.1181971
LFL,42.0883603,-87.9806265
LFL,42.0883603,-87.9806265
LFL,42.0970023,-79.2353259
LFL,42.1816918,-87.8003437
LFL,42.1945758,-122.7094767
LFL,42.1959798,-73.362008
LFL,42.2139284,-83.1938147
LFL,42.2411344,-88.3161965
LFL,42.2411499,-83.6129939
